file,column,inferred_dtype
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,cell_id,object
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,lon,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,lat,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,cell_area_km2,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,HAND_m,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,elevation_m,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,slope_deg,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,log_upstream_area,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,PRCPTOT,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,Rx1day,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,R10mm,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,R20mm,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,SDII,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,LULC_forest_fraction,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,LULC_shrub_savanna_grass_fraction,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,LULC_wetland_fraction,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,LULC_cropland_fraction,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,LULC_urban_fraction,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,LULC_barren_fraction,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,climate_model,object
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,scenario,object
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,period,object
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,state,object
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,lat_key,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,lon_key,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,PRCPTOT_hist_model,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,Rx1day_hist_model,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,R10mm_hist_model,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,R20mm_hist_model,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,SDII_hist_model,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,PRCPTOT_future_model,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,Rx1day_future_model,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,R10mm_future_model,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,R20mm_future_model,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,SDII_future_model,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,prob_raw,float64
DIRECT_HOU_FACTORIAL_PREDICTIONS.csv.gz,prob_direct_hou,float64
PHASE5D_HISTORICAL_FEATURE_TABLE.csv.gz,cell_id,object
PHASE5D_HISTORICAL_FEATURE_TABLE.csv.gz,event_id,object
