climate_model,scenario,period,C0L0,C0L1,C1L0,C1L1,climate_effect,lulc_effect,interaction,combined_effect
ACCESS-CM2,ssp245,late_2081_2100,0.12407963822837798,0.1192800013976062,0.15462969784301706,0.15185741650593867,0.03055005961463908,-0.004799636830771781,0.0020273554936934,0.0277777782775607
ACCESS-CM2,ssp245,mid_2041_2060,0.12407963822837798,0.12073684386788007,0.15392677339367067,0.15021753177461353,0.029847135165292693,-0.0033427943604979055,-0.00036644725855923543,0.026137893546235552
ACCESS-CM2,ssp245,near_2021_2040,0.12407963822837798,0.12253267210808966,0.15583506126488705,0.15353494259549486,0.03175542303650908,-0.0015469661202883178,-0.0007531525491038804,0.02945530436711688
ACCESS-CM2,ssp585,late_2081_2100,0.12407963822837798,0.11817561309968037,0.1398417183181473,0.13203310655504638,0.015762080089769315,-0.005904025128697601,-0.0019045866344032936,0.007953468326668406
ACCESS-CM2,ssp585,mid_2041_2060,0.12407963822837798,0.11863000207435682,0.14854948408784058,0.14151282980090807,0.024469845859462602,-0.005449636154021151,-0.0015870181329113442,0.017433191572530093
ACCESS-CM2,ssp585,near_2021_2040,0.12407963822837798,0.12018177332686245,0.14483166911071135,0.14083722252007694,0.020752030882333378,-0.0038978649015155298,-9.658168911888532e-05,0.016757584291698963
ACCESS-ESM1-5,ssp245,late_2081_2100,0.12407963822837798,0.1192800013976062,0.14396042108857093,0.14034628789446174,0.019880782860192958,-0.004799636830771781,0.0011855036366625882,0.016266649666083766
ACCESS-ESM1-5,ssp245,mid_2041_2060,0.12407963822837798,0.12073684386788007,0.14298840543689884,0.1412475479968617,0.01890876720852086,-0.0033427943604979055,0.0016019369204607753,0.01716790976848373
ACCESS-ESM1-5,ssp245,near_2021_2040,0.12407963822837798,0.12253267210808966,0.15402981764388796,0.15198927885053726,0.02995017941550998,-0.0015469661202883178,-0.0004935726730623813,0.027909640622159282
ACCESS-ESM1-5,ssp585,late_2081_2100,0.12407963822837798,0.11817561309968037,0.14210369513663793,0.13613634269089062,0.01802405690825995,-0.005904025128697601,-6.332731704970784e-05,0.01205670446251264
ACCESS-ESM1-5,ssp585,mid_2041_2060,0.12407963822837798,0.11863000207435682,0.14572601244015268,0.13980566839772213,0.021646374211774705,-0.005449636154021151,-0.00047070788840940236,0.015726030169344152
ACCESS-ESM1-5,ssp585,near_2021_2040,0.12407963822837798,0.12018177332686245,0.15662579522464012,0.1519229714840389,0.03254615699626215,-0.0038978649015155298,-0.0008049588390856843,0.027843333255660935
CanESM5,ssp245,late_2081_2100,0.12407963822837798,0.1192800013976062,0.14224615520093678,0.13927863524574882,0.018166516972558805,-0.004799636830771781,0.0018321168755838224,0.015198997017370847
CanESM5,ssp245,mid_2041_2060,0.12407963822837798,0.12073684386788007,0.1450983832278969,0.14207369817184573,0.021018744999518918,-0.0033427943604979055,0.00031810930444674257,0.017994059943467755
