interface,scenario,period,threshold,baseline_area_km2,future_area_km2,delta_area_km2
harmonized,ssp245,late_2081_2100,0.08,142096.1459350586,169598.07069778442,27501.92476272583
harmonized,ssp245,late_2081_2100,0.09,134541.96411132812,161376.07069778442,26834.1065864563
harmonized,ssp245,late_2081_2100,0.1,127004.48846435547,154589.7511177063,27585.26265335083
harmonized,ssp245,late_2081_2100,0.11,120401.64361572266,150593.37001419067,30191.726398468018
harmonized,ssp245,late_2081_2100,0.12,115910.81970214844,141596.9596710205,25686.13996887207
harmonized,ssp245,late_2081_2100,0.13,111368.18328857422,135542.61682128906,24174.433532714844
harmonized,ssp245,late_2081_2100,0.14,109098.79125976562,126792.36611938477,17693.57485961914
harmonized,ssp245,late_2081_2100,0.15,106086.74365234375,122256.55526733398,16169.811614990234
harmonized,ssp245,late_2081_2100,0.16,105334.8383178711,118501.97640991211,13167.138092041016
harmonized,ssp245,late_2081_2100,0.17,98121.8803100586,113225.99154663086,15104.111236572266
harmonized,ssp245,late_2081_2100,0.18,92860.80279541016,108120.66891479492,15259.866119384766
harmonized,ssp245,late_2081_2100,0.19,87891.34106445312,103820.56091308594,15929.219848632812
harmonized,ssp245,late_2081_2100,0.2,83331.77001953125,103066.61431884766,19734.844299316406
harmonized,ssp245,mid_2041_2060,0.08,142096.1459350586,165956.69902420044,23860.553089141846
harmonized,ssp245,mid_2041_2060,0.09,134541.96411132812,156917.04948806763,22375.085376739502
harmonized,ssp245,mid_2041_2060,0.1,127004.48846435547,147813.5350189209,20809.04655456543
harmonized,ssp245,mid_2041_2060,0.11,120401.64361572266,143150.00625610352,22748.36264038086
harmonized,ssp245,mid_2041_2060,0.12,115910.81970214844,132706.7498474121,16795.930145263672
harmonized,ssp245,mid_2041_2060,0.13,111368.18328857422,126899.80715942383,15531.62387084961
harmonized,ssp245,mid_2041_2060,0.14,109098.79125976562,120051.45449829102,10952.66323852539
harmonized,ssp245,mid_2041_2060,0.15,106086.74365234375,115599.23489379883,9512.491241455078
harmonized,ssp245,mid_2041_2060,0.16,105334.8383178711,113328.41128540039,7993.572967529297
harmonized,ssp245,mid_2041_2060,0.17,98121.8803100586,107312.72134399414,9190.841033935547
harmonized,ssp245,mid_2041_2060,0.18,92860.80279541016,99985.78607177734,7124.9832763671875
harmonized,ssp245,mid_2041_2060,0.19,87891.34106445312,96968.44470214844,9077.103637695312
